model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 V Class,2018.0,20498,Manual,22011.0,Diesel,145.0,46.3,2.1
 GLC Class,2016.0,25780,Automatic,34358.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,21291,Semi-Auto,13361.0,Diesel,145.0,67.3,1.5
 V Class,2018.0,20498,Manual,18831.0,Diesel,145.0,46.3,2.1
 GLA Class,2016.0,17990,Semi-Auto,30171.0,Diesel,125.0,56.5,2.1
 E Class,2014.0,14975,Semi-Auto,58145.0,Diesel,200.0,47.1,3.0
 A Class,2017.0,16450,Semi-Auto,37112.0,Diesel,20.0,68.9,2.1
 CLS Class,2014.0,19998,Semi-Auto,25696.0,Diesel,165.0,52.3,3.0
 GLC Class,2016.0,22499,Semi-Auto,49822.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,20780,Semi-Auto,11324.0,Petrol,145.0,53.3,1.3
 S Class,2018.0,41999,Semi-Auto,8107.0,Diesel,145.0,52.3,3.0
 E Class,2016.0,18698,Semi-Auto,31131.0,Diesel,145.0,54.3,3.0
 A Class,2019.0,21998,Semi-Auto,19324.0,Petrol,150.0,53.3,1.3
 C Class,2016.0,15698,Automatic,42062.0,Petrol,125.0,50.4,2.0
 A Class,2017.0,15245,Manual,22969.0,Diesel,145.0,68.9,1.5
 B Class,2017.0,13298,Manual,31705.0,Diesel,150.0,68.9,1.5
 GLA Class,2014.0,13990,Automatic,56488.0,Diesel,145.0,55.4,2.1
 E Class,2017.0,21498,Semi-Auto,20636.0,Diesel,160.0,52.3,3.0
 A Class,2016.0,14998,Manual,24569.0,Diesel,20.0,68.9,1.5
 CLS Class,2017.0,23998,Semi-Auto,27354.0,Diesel,160.0,49.6,3.0
 CLS Class,2016.0,22498,Semi-Auto,14466.0,Diesel,160.0,51.4,3.0
 S Class,2018.0,41990,Semi-Auto,7527.0,Diesel,145.0,52.3,3.0
 C Class,2017.0,16499,Semi-Auto,30536.0,Petrol,150.0,50.4,2.0
 GLC Class,2016.0,25495,Semi-Auto,24290.0,Diesel,125.0,56.5,2.1
 CL Class,2014.0,20998,Semi-Auto,60488.0,Petrol,200.0,39.8,2.0
 V Class,2018.0,19998,Manual,14941.0,Diesel,145.0,46.3,2.1
 GLC Class,2019.0,29490,Semi-Auto,8115.0,Diesel,145.0,56.5,2.1
 A Class,2019.0,20741,Semi-Auto,11112.0,Petrol,145.0,53.3,1.3
 C Class,2018.0,24799,Semi-Auto,20087.0,Petrol,145.0,47.1,2.0
 GLC Class,2016.0,27998,Semi-Auto,43910.0,Diesel,145.0,56.5,2.1
 B Class,2015.0,11240,Automatic,47000.0,Diesel,125.0,56.5,2.1
 C Class,2017.0,18498,Semi-Auto,20618.0,Diesel,30.0,64.2,2.1
 E Class,2015.0,20498,Semi-Auto,27688.0,Diesel,160.0,51.4,3.0
 C Class,2019.0,29290,Semi-Auto,4703.0,Diesel,145.0,57.7,2.0
 E Class,2016.0,20498,Semi-Auto,37915.0,Diesel,160.0,51.4,3.0
 C Class,2017.0,18660,Semi-Auto,23257.0,Diesel,145.0,61.4,2.1
 CL Class,2017.0,20750,Semi-Auto,9447.0,Diesel,145.0,67.3,2.1
 M Class,2014.0,18500,Semi-Auto,48928.0,Diesel,200.0,46.3,2.1
 GLA Class,2015.0,16690,Semi-Auto,14726.0,Diesel,20.0,64.2,2.1
 E Class,2019.0,27990,Semi-Auto,4158.0,Petrol,145.0,39.8,2.0
 GLA Class,2015.0,17624,Automatic,29505.0,Diesel,125.0,55.4,2.1
 A Class,2018.0,18885,Automatic,7047.0,Petrol,145.0,53.3,1.3
 CLS Class,2019.0,35499,Semi-Auto,12057.0,Diesel,145.0,48.7,2.9
 GLC Class,2017.0,21950,Semi-Auto,57000.0,Diesel,125.0,56.5,2.1
 A Class,2016.0,16450,Manual,25623.0,Petrol,200.0,41.5,2.0
 A Class,2019.0,22990,Semi-Auto,11520.0,Petrol,145.0,53.3,1.3
 GLA Class,2015.0,15390,Semi-Auto,60216.0,Diesel,125.0,55.4,2.1
 CLS Class,2015.0,18999,Semi-Auto,22067.0,Diesel,125.0,57.7,2.1
 B Class,2016.0,11450,Manual,23563.0,Diesel,20.0,68.9,1.5
 C Class,2016.0,17699,Semi-Auto,43236.0,Diesel,30.0,61.4,2.1
 E Class,2016.0,15635,Semi-Auto,30132.0,Diesel,30.0,64.2,2.1
 GLE Class,2017.0,26998,Semi-Auto,20113.0,Diesel,200.0,47.9,2.1
 CL Class,2013.0,11998,Manual,33562.0,Petrol,125.0,50.4,1.6
 A Class,2020.0,22490,Automatic,3521.0,Diesel,145.0,56.5,2.0
 SL CLASS,2016.0,49948,Automatic,6200.0,Petrol,555.0,28.0,5.5
 GLE Class,2018.0,30948,Automatic,16000.0,Diesel,145.0,47.9,2.1
 S Class,2015.0,27498,Semi-Auto,35236.0,Diesel,200.0,47.9,3.0
 A Class,2018.0,15694,Manual,43396.0,Diesel,145.0,68.9,1.5
 E Class,2019.0,24489,Semi-Auto,22561.0,Diesel,145.0,61.4,2.0
 CL Class,2019.0,21995,Manual,13329.0,Petrol,150.0,44.1,1.6
 A Class,2015.0,18998,Semi-Auto,23247.0,Petrol,200.0,42.8,2.0
 C Class,2017.0,21190,Semi-Auto,14044.0,Diesel,150.0,61.4,2.1
 SL CLASS,2017.0,21609,Automatic,2780.0,Diesel,30.0,70.6,2.1
 E Class,2017.0,21820,Automatic,20952.0,Diesel,145.0,54.3,3.0
 A Class,2019.0,19991,Semi-Auto,13570.0,Petrol,145.0,53.3,1.3
 C Class,2016.0,14450,Semi-Auto,19598.0,Petrol,125.0,53.3,2.0
 A Class,2020.0,21750,Manual,2896.0,Petrol,145.0,47.1,1.3
 C Class,2015.0,16310,Semi-Auto,55226.0,Diesel,30.0,64.2,2.1
 C Class,2015.0,12880,Semi-Auto,32786.0,Diesel,145.0,53.3,2.1
 C Class,2020.0,29950,Semi-Auto,101.0,Diesel,145.0,64.2,2.0
 C Class,2019.0,27791,Semi-Auto,9057.0,Diesel,145.0,56.5,2.0
 C Class,2016.0,27498,Semi-Auto,37941.0,Petrol,260.0,35.8,3.0
 SL CLASS,2017.0,20601,Automatic,16730.0,Diesel,150.0,70.6,2.1
 S Class,2015.0,26498,Semi-Auto,34434.0,Diesel,200.0,48.7,3.0
 C Class,2017.0,16922,Semi-Auto,52519.0,Diesel,30.0,64.2,1.6
 E Class,2019.0,24541,Automatic,10279.0,Diesel,145.0,67.3,2.0
 C Class,2019.0,29623,Automatic,7500.0,Diesel,145.0,64.2,2.0
 E Class,2015.0,17998,Semi-Auto,42577.0,Diesel,145.0,54.3,3.0
 B Class,2011.0,3990,Automatic,90000.0,Petrol,240.0,40.9,1.5
 A Class,2015.0,11998,Semi-Auto,50244.0,Diesel,20.0,68.9,1.5
 SL CLASS,2017.0,20998,Semi-Auto,18739.0,Diesel,145.0,70.6,2.1
 E Class,2020.0,35438,Automatic,3500.0,Diesel,145.0,42.8,2.0
 GLA Class,2016.0,16695,Automatic,26000.0,Diesel,30.0,64.2,2.1
 B Class,2017.0,13291,Semi-Auto,21742.0,Diesel,20.0,70.6,2.1
 A Class,2013.0,7300,Automatic,54000.0,Diesel,30.0,65.7,1.8
 E Class,2015.0,14980,Semi-Auto,59101.0,Diesel,160.0,51.4,2.1
 C Class,2016.0,17998,Automatic,32769.0,Diesel,30.0,64.2,2.1
 B Class,2019.0,20945,Automatic,13661.0,Petrol,145.0,45.6,1.3
 A Class,2015.0,13500,Semi-Auto,35343.0,Diesel,20.0,68.9,2.1
 B Class,2013.0,9998,Semi-Auto,34837.0,Diesel,30.0,64.2,1.8
 A Class,2019.0,21530,Semi-Auto,14817.0,Diesel,145.0,67.3,1.5
 B Class,2019.0,23395,Semi-Auto,1928.0,Diesel,145.0,55.4,2.0
 E Class,2019.0,41550,Automatic,159.0,Petrol,145.0,31.7,3.0
 V Class,2018.0,21996,Manual,32095.0,Diesel,145.0,46.3,2.1
 C Class,2019.0,23998,Semi-Auto,10357.0,Diesel,145.0,61.4,2.0
 GLA Class,2015.0,13995,Semi-Auto,62760.0,Diesel,20.0,62.8,2.1
 C Class,2019.0,21980,Automatic,7716.0,Petrol,145.0,45.6,1.5
 V Class,2018.0,20498,Manual,23128.0,Diesel,145.0,46.3,2.1
 GLA Class,2016.0,18435,Semi-Auto,40882.0,Diesel,125.0,56.5,2.1
 C Class,2019.0,28880,Automatic,7324.0,Petrol,145.0,46.3,1.5
 GLE Class,2016.0,29990,Semi-Auto,63250.0,Diesel,145.0,32.5,3.0
 C Class,2017.0,22498,Semi-Auto,22888.0,Diesel,20.0,67.3,2.1
 CLA Class,2016.0,14480,Automatic,84000.0,Petrol,200.0,42.8,2.0
 A Class,2019.0,19250,Manual,11381.0,Petrol,145.0,28.5,1.3
 A Class,2018.0,18888,Automatic,11565.0,Diesel,145.0,67.3,1.5
 GLC Class,2016.0,19490,Semi-Auto,59442.0,Diesel,125.0,56.5,2.1
 CLS Class,2018.0,33990,Semi-Auto,8123.0,Diesel,145.0,48.7,2.9
 E Class,2017.0,20998,Semi-Auto,22930.0,Diesel,145.0,72.4,2.0
 GLC Class,2017.0,37998,Semi-Auto,20418.0,Petrol,145.0,34.0,3.0
 A Class,2019.0,20990,Semi-Auto,15059.0,Diesel,145.0,67.3,1.5
 M Class,2014.0,15998,Semi-Auto,71657.0,Diesel,200.0,44.8,2.1
 A Class,2013.0,13998,Semi-Auto,29698.0,Diesel,30.0,64.2,2.1
 GLC Class,2019.0,27991,Semi-Auto,8811.0,Diesel,145.0,41.5,2.1
 B Class,2018.0,17990,Automatic,11290.0,Diesel,145.0,68.9,2.1
 V Class,2017.0,27998,Semi-Auto,58590.0,Diesel,235.0,44.8,2.2
 C Class,2015.0,16990,Semi-Auto,11954.0,Diesel,20.0,64.2,2.1
 CLS Class,2019.0,37352,Automatic,3000.0,Diesel,150.0,45.6,2.0
 GLC Class,2019.0,30799,Automatic,9886.0,Diesel,145.0,41.5,2.1
 E Class,2014.0,11950,Semi-Auto,70000.0,Diesel,145.0,54.3,2.1
 C Class,2016.0,18998,Semi-Auto,28388.0,Diesel,30.0,64.2,1.6
 E Class,2017.0,21495,Semi-Auto,18658.0,Diesel,145.0,67.3,2.0
 SLK,2004.0,4890,Automatic,46000.0,Petrol,330.0,28.0,3.5
 CL Class,2019.0,25498,Semi-Auto,13953.0,Diesel,145.0,51.4,2.2
 CLS Class,2015.0,17991,Semi-Auto,29139.0,Diesel,125.0,57.7,2.1
 GLA Class,2014.0,13447,Automatic,54146.0,Diesel,145.0,55.4,2.1
 C Class,2015.0,16440,Semi-Auto,29286.0,Diesel,20.0,64.2,2.1
 C Class,2019.0,44990,Automatic,1474.0,Petrol,145.0,29.1,3.0
 E Class,2019.0,36998,Semi-Auto,5211.0,Diesel,145.0,70.6,2.0
 A Class,2020.0,25490,Semi-Auto,2000.0,Petrol,145.0,45.6,2.0
 S Class,2015.0,38980,Automatic,11000.0,Petrol,270.0,33.2,4.7
 A Class,2019.0,19990,Semi-Auto,9980.0,Diesel,145.0,67.3,1.5
 GLC Class,2019.0,33729,Automatic,11301.0,Diesel,145.0,56.5,2.1
 GLC Class,2017.0,25800,Semi-Auto,15334.0,Diesel,145.0,56.5,2.1
 C Class,2019.0,28660,Automatic,1610.0,Diesel,145.0,57.7,2.0
 C Class,2017.0,25798,Semi-Auto,9676.0,Diesel,145.0,65.7,2.1
 C Class,2014.0,12998,Semi-Auto,52712.0,Diesel,20.0,64.2,2.1
 CL Class,2015.0,17995,Automatic,41100.0,Diesel,20.0,67.3,2.1
 E Class,2019.0,38998,Semi-Auto,378.0,Diesel,145.0,57.7,2.0
 X-CLASS,2020.0,31991,Automatic,303.0,Diesel,265.0,35.8,2.3
 C Class,2019.0,29998,Semi-Auto,28000.0,Petrol,145.0,44.1,2.0
 CLS Class,2017.0,26166,Automatic,9165.0,Diesel,150.0,51.4,3.0
 A Class,2018.0,18995,Semi-Auto,13189.0,Petrol,145.0,52.3,1.6
 A Class,2016.0,14521,Manual,35005.0,Diesel,30.0,62.8,2.1
 CL Class,2014.0,17660,Semi-Auto,25237.0,Diesel,30.0,62.8,2.1
 V Class,2018.0,19998,Manual,23183.0,Diesel,145.0,46.3,2.1
 A Class,2020.0,24107,Automatic,3500.0,Diesel,145.0,62.8,1.5
 GLC Class,2016.0,20998,Semi-Auto,37045.0,Diesel,125.0,56.5,2.1
 GL Class,2007.0,7340,Automatic,104000.0,Diesel,570.0,28.8,3.0
 CL Class,2020.0,29999,Semi-Auto,1100.0,Petrol,145.0,44.8,1.3
 C Class,2019.0,30495,Semi-Auto,8771.0,Petrol,145.0,44.1,2.0
 C Class,2017.0,23495,Semi-Auto,23033.0,Diesel,30.0,65.7,2.1
 GLC Class,2016.0,23998,Semi-Auto,42809.0,Diesel,125.0,56.5,2.1
 A Class,2018.0,18250,Semi-Auto,22239.0,Petrol,145.0,52.3,1.6
 E Class,2019.0,35990,Semi-Auto,5526.0,Diesel,145.0,70.6,2.0
 A Class,2016.0,15291,Semi-Auto,10730.0,Diesel,20.0,70.6,2.1
 A Class,2017.0,18498,Semi-Auto,15478.0,Petrol,145.0,53.3,1.6
 GL Class,2014.0,24498,Automatic,67833.0,Diesel,325.0,35.3,3.0
 E Class,2017.0,19498,Semi-Auto,49866.0,Diesel,150.0,65.7,2.0
 SL CLASS,2019.0,64998,Semi-Auto,313.0,Petrol,145.0,31.4,4.7
 E Class,2017.0,19498,Semi-Auto,47007.0,Diesel,30.0,65.7,2.0
 A Class,2019.0,22596,Automatic,5382.0,Diesel,145.0,62.8,1.5
 A Class,2018.0,18990,Semi-Auto,17423.0,Diesel,145.0,67.3,1.5
 CLS Class,2016.0,22998,Semi-Auto,34544.0,Diesel,165.0,49.6,3.0
 GLC Class,2016.0,28995,Semi-Auto,31600.0,Diesel,145.0,56.5,2.1
 GLC Class,2017.0,23998,Semi-Auto,39647.0,Diesel,125.0,56.5,2.1
 A Class,2017.0,15840,Manual,24814.0,Diesel,145.0,62.8,2.1
 M Class,2008.0,5990,Automatic,110000.0,Diesel,555.0,28.8,3.0
 A Class,2019.0,18241,Automatic,15722.0,Diesel,145.0,65.7,1.5
 A Class,2019.0,21840,Semi-Auto,10904.0,Diesel,145.0,67.3,1.5
 A Class,2020.0,28128,Automatic,2563.0,Petrol,145.0,47.9,1.3
 A Class,2017.0,15750,Semi-Auto,21000.0,Diesel,145.0,74.3,1.5
 B Class,2017.0,15998,Semi-Auto,21306.0,Diesel,145.0,68.9,2.1
 C Class,2017.0,20998,Semi-Auto,42036.0,Diesel,20.0,67.3,2.1
 A Class,2017.0,27490,Semi-Auto,31775.0,Petrol,145.0,40.9,2.0
 A Class,2019.0,19990,Semi-Auto,12456.0,Petrol,145.0,53.3,1.3
 A Class,2019.0,20990,Manual,2158.0,Petrol,145.0,47.1,1.3
 S Class,2017.0,27498,Semi-Auto,39872.0,Diesel,145.0,50.4,3.0
 C Class,2016.0,14965,Semi-Auto,30487.0,Diesel,20.0,65.7,2.1
 GLB Class,2020.0,36995,Semi-Auto,1500.0,Diesel,145.0,44.8,2.0
 S Class,2016.0,24880,Automatic,75000.0,Other,190.0,42.4,3.5
 CL Class,2015.0,17863,Semi-Auto,14360.0,Diesel,20.0,62.8,2.1
 GLA Class,2016.0,17997,Semi-Auto,29217.0,Diesel,125.0,56.5,2.1
 C Class,2007.0,3790,Automatic,99000.0,Petrol,555.0,28.8,2.5
 E Class,2013.0,9495,Semi-Auto,82312.0,Diesel,145.0,55.4,2.1
 E Class,2018.0,26499,Semi-Auto,17131.0,Diesel,145.0,57.7,2.0
 GLC Class,2019.0,31990,Automatic,7977.0,Diesel,145.0,56.5,2.1
 A Class,2020.0,23999,Semi-Auto,2300.0,Petrol,145.0,53.3,1.3
 CL Class,2017.0,20780,Automatic,23099.0,Diesel,145.0,67.3,2.1
 GLC Class,2017.0,25498,Semi-Auto,17967.0,Diesel,150.0,56.5,2.1
 GLA Class,2018.0,20990,Semi-Auto,18166.0,Diesel,145.0,56.5,2.1
 C Class,2017.0,19998,Semi-Auto,23690.0,Diesel,125.0,58.9,2.1
 C Class,2015.0,12590,Semi-Auto,65000.0,Diesel,150.0,53.3,2.1
 GLA Class,2016.0,18485,Semi-Auto,27931.0,Diesel,125.0,56.5,2.1
 GLE Class,2018.0,39999,Semi-Auto,24624.0,Petrol,145.0,32.8,3.0
 E Class,2016.0,19498,Semi-Auto,36107.0,Diesel,160.0,51.4,3.0
 A Class,2019.0,20130,Semi-Auto,5263.0,Petrol,145.0,53.3,1.3
 C Class,2019.0,29999,Semi-Auto,4843.0,Diesel,145.0,57.7,2.0
 GLC Class,2017.0,27998,Semi-Auto,30459.0,Diesel,145.0,56.5,2.1
 GL Class,2016.0,35371,Automatic,14253.0,Diesel,325.0,36.2,3.0
 E Class,2017.0,21998,Semi-Auto,20044.0,Diesel,145.0,61.4,2.0
 SLK,2013.0,10495,Semi-Auto,18105.0,Diesel,150.0,56.5,2.0
 C Class,2019.0,24950,Automatic,7006.0,Petrol,145.0,47.1,1.5
 B Class,2015.0,12998,Semi-Auto,26125.0,Diesel,20.0,67.3,1.5
 GLE Class,2019.0,45990,Semi-Auto,9600.0,Diesel,145.0,36.7,3.0
 C Class,2014.0,11290,Automatic,48000.0,Diesel,145.0,56.5,2.1
 GLE Class,2017.0,28998,Semi-Auto,31322.0,Diesel,145.0,42.8,3.0
 E Class,2016.0,21990,Automatic,32266.0,Diesel,160.0,51.4,3.0
 SLK,2013.0,11991,Semi-Auto,37411.0,Diesel,150.0,56.5,2.0
 A Class,2018.0,19995,Semi-Auto,2348.0,Petrol,145.0,53.3,1.3
 GLC Class,2016.0,23498,Semi-Auto,46259.0,Diesel,125.0,56.5,2.1
 CL Class,2015.0,17498,Manual,15557.0,Petrol,125.0,50.4,1.6
 GLC Class,2017.0,27950,Automatic,22244.0,Diesel,145.0,56.5,2.1
 S Class,2015.0,24998,Semi-Auto,29036.0,Diesel,160.0,50.4,3.0
 A Class,2017.0,15499,Semi-Auto,18138.0,Petrol,125.0,53.3,1.6
 A Class,2019.0,22730,Automatic,1521.0,Diesel,145.0,56.5,2.0
 C Class,2017.0,18495,Semi-Auto,41857.0,Diesel,145.0,61.4,2.1
 V Class,2018.0,35995,Automatic,7000.0,Diesel,145.0,45.6,2.2
 E Class,2017.0,22998,Semi-Auto,9926.0,Diesel,150.0,65.7,2.0
 GLC Class,2017.0,24695,Semi-Auto,33620.0,Diesel,145.0,56.5,2.1
 GLA Class,2017.0,19750,Automatic,15258.0,Diesel,30.0,64.2,2.1
 C Class,2013.0,11998,Semi-Auto,31706.0,Diesel,145.0,53.3,2.1
 GLE Class,2017.0,26600,Automatic,33848.0,Diesel,145.0,42.8,3.0
 A Class,2019.0,21450,Semi-Auto,11597.0,Diesel,145.0,67.3,1.5
 C Class,2019.0,27698,Semi-Auto,14999.0,Diesel,145.0,55.4,2.0
 CLS Class,2016.0,21398,Semi-Auto,34056.0,Diesel,160.0,51.4,3.0
 E Class,2019.0,40998,Semi-Auto,1255.0,Diesel,145.0,49.6,2.0
 GLA Class,2018.0,21999,Semi-Auto,17306.0,Diesel,145.0,56.5,2.1
 GLC Class,2017.0,24790,Semi-Auto,28894.0,Diesel,145.0,56.5,2.1
 E Class,2016.0,18998,Semi-Auto,32107.0,Diesel,160.0,52.3,3.0
 C Class,2018.0,22880,Semi-Auto,23061.0,Diesel,145.0,67.3,2.1
 C Class,2017.0,21595,Semi-Auto,12648.0,Diesel,145.0,67.3,2.1
 C Class,2015.0,12495,Semi-Auto,50374.0,Diesel,20.0,65.7,2.1
 GLA Class,2014.0,15498,Semi-Auto,53000.0,Diesel,145.0,55.4,2.1
 E Class,2016.0,15790,Semi-Auto,43280.0,Diesel,125.0,56.5,2.1
 C Class,2017.0,24998,Semi-Auto,28234.0,Petrol,160.0,43.5,2.0
 E Class,2017.0,19498,Semi-Auto,54028.0,Diesel,150.0,65.7,2.0
 E Class,2016.0,17498,Semi-Auto,54502.0,Diesel,20.0,72.4,2.0
 C Class,2017.0,23791,Semi-Auto,17263.0,Diesel,30.0,65.7,2.1
 CL Class,2014.0,15990,Semi-Auto,45559.0,Diesel,30.0,62.8,2.1
 C Class,2016.0,13691,Semi-Auto,36538.0,Diesel,30.0,65.7,1.6
 B Class,2013.0,8200,Manual,54257.0,Diesel,30.0,61.4,1.5
 C Class,2018.0,22998,Semi-Auto,18739.0,Diesel,150.0,60.1,2.1
 A Class,2014.0,12998,Manual,39558.0,Diesel,20.0,70.6,1.5
 C Class,2018.0,21990,Semi-Auto,1871.0,Petrol,145.0,44.1,1.5
 GLC Class,2017.0,24998,Semi-Auto,53351.0,Diesel,145.0,56.5,2.1
 E Class,2017.0,22970,Semi-Auto,22699.0,Diesel,145.0,70.6,2.0
 A Class,2013.0,10630,Semi-Auto,52214.0,Diesel,30.0,65.7,1.8
 C Class,2014.0,25885,Semi-Auto,37000.0,Petrol,570.0,23.5,6.2
 GLA Class,2015.0,15998,Semi-Auto,38858.0,Diesel,20.0,67.3,2.1
 S Class,2012.0,10948,Automatic,107000.0,Petrol,265.0,36.7,3.5
 C Class,2019.0,41880,Automatic,151.0,Petrol,145.0,29.7,3.0
 GLC Class,2018.0,27990,Semi-Auto,21734.0,Diesel,150.0,56.5,2.1
 A Class,2013.0,14990,Automatic,26038.0,Petrol,160.0,44.1,2.0
 M Class,2013.0,15200,Semi-Auto,61363.0,Diesel,200.0,44.8,2.1
 C Class,2018.0,26625,Automatic,7175.0,Diesel,145.0,57.7,2.0
 C Class,2018.0,19991,Semi-Auto,20027.0,Diesel,150.0,60.1,2.1
 GLC Class,2018.0,28499,Semi-Auto,25861.0,Diesel,145.0,56.5,2.1
 C Class,2016.0,16998,Automatic,59208.0,Other,0.0,76.4,2.1
 CLS Class,2016.0,19770,Automatic,27167.0,Diesel,125.0,57.7,2.1
 GLE Class,2019.0,54498,Semi-Auto,6279.0,Diesel,145.0,32.8,3.0
 B Class,2019.0,19998,Semi-Auto,14922.0,Petrol,145.0,45.6,1.3
 SLK,2013.0,10698,Semi-Auto,66282.0,Diesel,145.0,56.5,2.0
 GLE Class,2017.0,29498,Semi-Auto,22501.0,Diesel,200.0,47.9,2.1
 C Class,2019.0,27000,Semi-Auto,6406.0,Diesel,145.0,64.2,2.0
 E Class,2017.0,20998,Semi-Auto,21352.0,Diesel,20.0,72.4,2.0
 C Class,2017.0,18498,Semi-Auto,26179.0,Diesel,145.0,60.1,2.1
 C Class,2016.0,18350,Semi-Auto,59625.0,Diesel,30.0,64.2,2.1
 A Class,2019.0,21991,Semi-Auto,9389.0,Petrol,145.0,28.5,1.3
 GLC Class,2016.0,23245,Semi-Auto,21210.0,Diesel,125.0,56.5,2.1
 C Class,2019.0,24736,Semi-Auto,10605.0,Diesel,145.0,64.2,2.0
 CL Class,2015.0,18498,Semi-Auto,18982.0,Diesel,20.0,67.3,2.1
 E Class,2014.0,9500,Semi-Auto,80084.0,Diesel,30.0,58.9,2.1
 CLS Class,2019.0,46495,Semi-Auto,5524.0,Diesel,145.0,47.9,2.9
 C Class,2014.0,26998,Semi-Auto,24175.0,Petrol,570.0,23.5,6.2
 CL Class,2020.0,31499,Semi-Auto,1500.0,Petrol,145.0,44.1,1.3
 V Class,2018.0,19498,Manual,21525.0,Diesel,145.0,46.3,2.1
 C Class,2016.0,18700,Semi-Auto,33237.0,Diesel,125.0,58.9,2.1
 E Class,2016.0,18037,Semi-Auto,25593.0,Diesel,125.0,58.9,2.1
 SL CLASS,2017.0,22498,Semi-Auto,11534.0,Diesel,145.0,70.6,2.1
 E Class,2007.0,4880,Automatic,58000.0,Diesel,315.0,37.2,3.0
 E Class,2014.0,15998,Semi-Auto,43125.0,Diesel,200.0,45.6,3.0
 C Class,2016.0,19991,Semi-Auto,35975.0,Diesel,20.0,67.3,2.1
 C Class,2017.0,16595,Automatic,29814.0,Diesel,20.0,65.7,2.1
 C Class,2019.0,29999,Semi-Auto,1683.0,Diesel,145.0,55.4,2.0
 CLS Class,2016.0,21498,Semi-Auto,35474.0,Diesel,165.0,51.4,3.0
 M Class,2013.0,16770,Semi-Auto,41366.0,Diesel,300.0,39.2,3.0
 GLS Class,2017.0,43498,Semi-Auto,7517.0,Diesel,145.0,37.2,3.0
 GLC Class,2016.0,18990,Semi-Auto,70560.0,Diesel,125.0,56.5,2.1
 B Class,2017.0,15480,Automatic,23290.0,Diesel,20.0,68.9,2.1
 A Class,2017.0,16980,Manual,15734.0,Diesel,145.0,62.8,2.1
 GLC Class,2017.0,29991,Semi-Auto,22489.0,Diesel,150.0,56.5,2.1
 E Class,2016.0,19698,Semi-Auto,42334.0,Diesel,30.0,65.7,2.0
 C Class,2018.0,29498,Semi-Auto,6265.0,Diesel,145.0,54.3,2.0
 A Class,2014.0,10998,Semi-Auto,58500.0,Diesel,30.0,65.7,1.8
 C Class,2017.0,22170,Semi-Auto,19155.0,Diesel,145.0,67.3,2.1
 A Class,2017.0,16798,Manual,24388.0,Diesel,20.0,68.9,1.5
 A Class,2019.0,19990,Manual,14210.0,Petrol,145.0,28.5,1.3
 SL CLASS,2016.0,18998,Semi-Auto,29302.0,Diesel,30.0,70.6,2.1
