model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 CL Class,2019.0,25640,Semi-Auto,10866.0,Diesel,145.0,51.4,2.2
 C Class,2019.0,28998,Semi-Auto,5116.0,Diesel,145.0,61.4,2.0
 A Class,2019.0,20950,Semi-Auto,4692.0,Diesel,145.0,65.7,1.3
 C Class,2016.0,15699,Semi-Auto,30301.0,Diesel,20.0,65.7,2.1
 E Class,2019.0,39999,Automatic,5000.0,Diesel,145.0,42.8,3.0
 C Class,2015.0,17044,Semi-Auto,48123.0,Diesel,30.0,64.2,2.1
 E Class,2018.0,22699,Semi-Auto,18770.0,Diesel,145.0,67.3,2.0
 A Class,2019.0,24795,Semi-Auto,4499.0,Petrol,145.0,28.5,1.3
 GLC Class,2016.0,22998,Semi-Auto,30162.0,Diesel,125.0,56.5,2.1
 E Class,2019.0,42590,Automatic,12419.0,Petrol,145.0,32.5,3.0
 A Class,2019.0,22998,Semi-Auto,3770.0,Petrol,150.0,53.3,1.3
 CLS Class,2016.0,25077,Automatic,13887.0,Diesel,165.0,49.6,3.0
 CL Class,2014.0,16995,Semi-Auto,37208.0,Diesel,30.0,62.8,2.1
 GLA Class,2019.0,20995,Manual,6587.0,Petrol,145.0,40.9,1.6
 C Class,2014.0,15998,Semi-Auto,26216.0,Diesel,30.0,64.2,2.1
 A Class,2019.0,25701,Automatic,11000.0,Diesel,150.0,56.5,2.0
 GLC Class,2019.0,47484,Automatic,3439.0,Petrol,145.0,27.4,4.0
 C Class,2016.0,17820,Semi-Auto,30748.0,Diesel,20.0,68.9,2.1
 V Class,2016.0,17998,Manual,21981.0,Diesel,200.0,46.3,2.1
 C Class,2019.0,28990,Automatic,2501.0,Diesel,145.0,64.2,2.0
 A Class,2016.0,14495,Semi-Auto,55769.0,Diesel,20.0,68.9,2.1
 S Class,2019.0,54990,Automatic,1501.0,Diesel,145.0,41.5,3.0
 A Class,2013.0,10950,Manual,56000.0,Diesel,20.0,70.6,1.5
 CL Class,2017.0,16490,Manual,32282.0,Petrol,145.0,51.4,1.6
 GLA Class,2016.0,17863,Automatic,28483.0,Diesel,125.0,56.5,2.1
 C Class,2019.0,25795,Semi-Auto,12986.0,Diesel,145.0,58.9,2.0
 A Class,2016.0,11990,Manual,39853.0,Diesel,20.0,72.4,1.5
 A Class,2018.0,19097,Semi-Auto,7844.0,Petrol,145.0,53.3,1.3
 GLS Class,2018.0,41995,Automatic,14718.0,Diesel,145.0,37.2,3.0
 GLC Class,2018.0,24690,Semi-Auto,40422.0,Diesel,145.0,56.5,2.1
 G Class,2015.0,52995,Semi-Auto,34400.0,Diesel,570.0,25.2,3.0
 GLA Class,2016.0,17999,Semi-Auto,35231.0,Diesel,125.0,56.6,2.1
 GLA Class,2017.0,17495,Automatic,45500.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,18085,Semi-Auto,14669.0,Diesel,145.0,68.9,1.5
 GLE Class,2017.0,36999,Semi-Auto,10946.0,Petrol,305.0,32.8,3.0
 A Class,2018.0,18990,Semi-Auto,5020.0,Petrol,145.0,53.3,1.3
 GLE Class,2015.0,24950,Semi-Auto,43800.0,Diesel,200.0,47.9,2.1
 C Class,2014.0,16995,Automatic,37600.0,Diesel,30.0,64.2,2.1
 C Class,2016.0,20990,Semi-Auto,20972.0,Diesel,30.0,64.2,2.1
 A Class,2013.0,15498,Semi-Auto,27415.0,Petrol,160.0,44.1,2.0
 C Class,2016.0,19290,Semi-Auto,17600.0,Diesel,30.0,64.2,2.1
 GLA Class,2020.0,23990,Semi-Auto,2500.0,Petrol,145.0,37.2,1.6
 C Class,2019.0,24510,Automatic,11368.0,Diesel,145.0,58.9,1.6
 A Class,2014.0,12990,Semi-Auto,41362.0,Petrol,145.0,49.6,1.6
 C Class,2017.0,20990,Semi-Auto,19733.0,Petrol,150.0,48.7,2.0
 GL Class,2015.0,30698,Semi-Auto,44902.0,Diesel,325.0,36.2,3.0
 SL CLASS,2010.0,16990,Automatic,18000.0,Petrol,555.0,29.1,3.5
 GLC Class,2020.0,37998,Semi-Auto,5538.0,Diesel,150.0,40.9,2.0
 E Class,2016.0,20298,Semi-Auto,26707.0,Diesel,145.0,54.3,3.0
 GLA Class,2018.0,21795,Semi-Auto,15387.0,Petrol,145.0,48.7,1.6
 B Class,2019.0,20998,Semi-Auto,10713.0,Petrol,145.0,45.6,1.3
 CL Class,2016.0,20995,Semi-Auto,8008.0,Diesel,20.0,67.3,2.1
 CLS Class,2013.0,12210,Automatic,54238.0,Diesel,145.0,54.3,2.1
 CLS Class,2017.0,20999,Semi-Auto,30987.0,Diesel,125.0,57.7,2.1
 CL Class,2016.0,18799,Semi-Auto,19930.0,Diesel,20.0,70.6,2.1
 GLA Class,2016.0,16998,Semi-Auto,30129.0,Diesel,125.0,56.5,2.1
 E Class,2017.0,21950,Automatic,26355.0,Diesel,145.0,65.7,2.0
 GLC Class,2016.0,21998,Semi-Auto,49986.0,Diesel,125.0,56.5,2.1
 C Class,2018.0,20885,Semi-Auto,22773.0,Diesel,145.0,61.4,2.1
 C Class,2017.0,18433,Semi-Auto,34278.0,Diesel,145.0,61.4,2.1
 GLA Class,2018.0,21591,Semi-Auto,11700.0,Diesel,145.0,56.5,2.1
 A Class,2014.0,11990,Manual,61307.0,Diesel,20.0,70.6,1.5
 CL Class,2020.0,27480,Semi-Auto,2459.0,Petrol,145.0,44.1,1.3
 E Class,2017.0,19998,Semi-Auto,52570.0,Diesel,30.0,65.7,2.0
 C Class,2019.0,27595,Semi-Auto,11480.0,Diesel,145.0,56.5,2.0
 SL CLASS,2017.0,20998,Semi-Auto,13526.0,Petrol,145.0,47.9,2.0
 CL Class,2015.0,16498,Manual,25920.0,Petrol,125.0,51.4,1.6
 GLE Class,2017.0,29998,Semi-Auto,15626.0,Diesel,265.0,42.8,3.0
 C Class,2015.0,36990,Automatic,12659.0,Petrol,300.0,34.5,4.0
 E Class,2016.0,19845,Automatic,32741.0,Diesel,30.0,65.7,2.0
 E Class,2016.0,17990,Semi-Auto,34356.0,Diesel,20.0,72.4,2.0
 SL CLASS,2016.0,20498,Semi-Auto,10643.0,Diesel,30.0,70.6,2.1
 E Class,2017.0,21391,Semi-Auto,16654.0,Diesel,145.0,72.4,2.0
 C Class,2019.0,23498,Semi-Auto,19204.0,Diesel,150.0,61.4,2.0
 A Class,2014.0,9500,Manual,66237.0,Diesel,20.0,72.4,1.5
 E Class,2016.0,19498,Semi-Auto,38238.0,Diesel,165.0,52.3,3.0
 C Class,2016.0,19498,Semi-Auto,22803.0,Diesel,30.0,61.4,2.1
 E Class,2016.0,19998,Semi-Auto,18718.0,Diesel,145.0,54.3,3.0
 SL CLASS,2019.0,57995,Automatic,1201.0,Petrol,145.0,29.4,3.0
 GLA Class,2014.0,15495,Semi-Auto,60895.0,Diesel,145.0,55.4,2.1
 C Class,2017.0,19250,Semi-Auto,23523.0,Diesel,125.0,60.1,2.1
 C Class,2015.0,17498,Semi-Auto,42471.0,Other,0.0,76.4,2.1
 C Class,2019.0,25498,Semi-Auto,8150.0,Diesel,145.0,60.1,1.6
 B Class,2014.0,9498,Semi-Auto,40217.0,Diesel,30.0,64.2,1.5
 C Class,2019.0,26890,Semi-Auto,1705.0,Petrol,145.0,42.2,1.6
 GLE Class,2015.0,34998,Semi-Auto,22651.0,Diesel,300.0,39.2,3.0
 GLA Class,2015.0,18998,Semi-Auto,33114.0,Diesel,125.0,56.5,2.1
 A Class,2016.0,15597,Semi-Auto,20866.0,Diesel,20.0,70.6,2.1
 GLC Class,2017.0,24999,Semi-Auto,17706.0,Diesel,125.0,56.5,2.1
 A Class,2016.0,16998,Semi-Auto,29160.0,Diesel,20.0,67.3,2.1
 A Class,2019.0,18190,Semi-Auto,12162.0,Diesel,145.0,65.7,1.5
 E Class,2015.0,20298,Semi-Auto,28056.0,Diesel,160.0,51.4,3.0
 GLE Class,2016.0,28698,Semi-Auto,22707.0,Diesel,200.0,47.9,2.1
 E Class,2015.0,11995,Semi-Auto,75229.0,Diesel,125.0,60.1,2.1
 S Class,2015.0,28498,Semi-Auto,15293.0,Diesel,200.0,48.7,3.0
 C Class,2019.0,28250,Automatic,3477.0,Diesel,145.0,61.4,2.0
 B Class,2019.0,22499,Semi-Auto,1352.0,Petrol,145.0,45.6,1.3
 C Class,2016.0,17998,Manual,26100.0,Diesel,20.0,68.9,2.1
 B Class,2016.0,13291,Semi-Auto,45250.0,Diesel,20.0,68.9,2.1
 C Class,2018.0,31995,Semi-Auto,11300.0,Petrol,150.0,36.2,3.0
 C Class,2018.0,20495,Semi-Auto,24158.0,Diesel,145.0,60.1,2.1
 GLA Class,2015.0,17790,Semi-Auto,30000.0,Diesel,125.0,55.4,2.1
 E Class,2015.0,13527,Automatic,51933.0,Diesel,125.0,61.4,2.1
 A Class,2018.0,17498,Semi-Auto,15316.0,Petrol,145.0,49.6,1.6
 GLA Class,2016.0,17690,Semi-Auto,33242.0,Diesel,125.0,56.5,2.1
 CLS Class,2015.0,17998,Semi-Auto,46725.0,Diesel,145.0,56.5,2.1
 S Class,2015.0,24498,Semi-Auto,28191.0,Diesel,200.0,47.9,3.0
 S Class,2017.0,40990,Semi-Auto,6200.0,Diesel,150.0,52.3,3.0
 S Class,2017.0,34948,Automatic,27000.0,Other,20.0,61.4,2.1
 C Class,2019.0,24433,Automatic,2326.0,Petrol,145.0,46.3,1.5
 C Class,2015.0,14750,Semi-Auto,32594.0,Diesel,20.0,64.2,2.1
 A Class,2016.0,13999,Manual,21396.0,Diesel,20.0,72.4,1.5
 E Class,2016.0,17791,Semi-Auto,35279.0,Diesel,125.0,58.9,2.1
 A Class,2017.0,16979,Manual,11811.0,Diesel,20.0,68.9,1.5
 A Class,2018.0,19097,Semi-Auto,7456.0,Petrol,145.0,53.3,1.3
 GLE Class,2016.0,7750,Semi-Auto,77456.0,Diesel,235.0,42.8,3.0
 GLE Class,2017.0,31498,Semi-Auto,9949.0,Diesel,205.0,47.9,2.1
 C Class,2016.0,16390,Semi-Auto,31360.0,Diesel,20.0,64.2,2.1
 C Class,2014.0,17330,Semi-Auto,32475.0,Diesel,30.0,64.2,2.1
 GLC Class,2018.0,26480,Semi-Auto,10833.0,Diesel,145.0,56.5,2.1
 A Class,2017.0,16190,Manual,33912.0,Diesel,20.0,68.9,1.5
 C Class,2017.0,17789,Semi-Auto,63019.0,Diesel,125.0,61.4,2.1
 A Class,2019.0,19990,Manual,13862.0,Petrol,145.0,28.5,1.3
 E Class,2016.0,18998,Semi-Auto,23951.0,Diesel,125.0,58.9,2.1
 C Class,2013.0,11998,Semi-Auto,30035.0,Petrol,160.0,44.8,1.6
 A Class,2018.0,17990,Semi-Auto,15907.0,Diesel,145.0,65.7,1.5
 GLA Class,2018.0,19495,Semi-Auto,17911.0,Petrol,145.0,50.4,1.6
 C Class,2019.0,36995,Automatic,2749.0,Diesel,145.0,54.3,2.0
 C Class,2020.0,31950,Automatic,2985.0,Diesel,145.0,51.4,2.0
 V Class,2020.0,43950,Semi-Auto,2859.0,Diesel,145.0,36.2,2.0
 A Class,2018.0,18436,Semi-Auto,7756.0,Diesel,145.0,68.9,1.5
 GLA Class,2017.0,19698,Semi-Auto,6631.0,Petrol,150.0,48.7,1.6
 B Class,2014.0,9999,Semi-Auto,53516.0,Diesel,30.0,60.1,1.8
 GLC Class,2016.0,25100,Semi-Auto,27703.0,Diesel,125.0,56.5,2.1
 C Class,2014.0,12750,Semi-Auto,74000.0,Diesel,30.0,62.8,2.1
 A Class,2019.0,18990,Semi-Auto,13145.0,Diesel,145.0,68.9,1.5
 E Class,2017.0,21998,Semi-Auto,19249.0,Diesel,145.0,65.7,2.0
 C Class,2017.0,21999,Semi-Auto,10288.0,Petrol,150.0,47.9,2.0
 CLS Class,2016.0,23998,Semi-Auto,7675.0,Diesel,160.0,49.6,3.0
 A Class,2017.0,15590,Semi-Auto,34553.0,Diesel,145.0,68.9,2.1
 E Class,2017.0,20998,Semi-Auto,16016.0,Diesel,145.0,72.4,2.0
 E Class,2017.0,18660,Semi-Auto,30007.0,Diesel,145.0,72.4,2.0
 C Class,2017.0,18795,Automatic,46294.0,Diesel,20.0,67.3,2.1
 A Class,2014.0,10495,Manual,53954.0,Diesel,20.0,70.6,1.5
 GLC Class,2017.0,23498,Semi-Auto,32902.0,Diesel,125.0,56.5,2.1
 GLE Class,2017.0,29498,Semi-Auto,25542.0,Diesel,260.0,42.8,3.0
 A Class,2019.0,23000,Semi-Auto,7864.0,Petrol,145.0,53.3,1.3
 V Class,2017.0,35995,Semi-Auto,16830.0,Diesel,235.0,44.8,2.2
 GLA Class,2016.0,17991,Semi-Auto,26193.0,Diesel,125.0,56.6,2.1
 GLC Class,2016.0,21295,Semi-Auto,64995.0,Diesel,125.0,56.5,2.1
 GLA Class,2016.0,18998,Semi-Auto,19696.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,18141,Automatic,15689.0,Diesel,145.0,65.7,1.5
 C Class,2019.0,31990,Semi-Auto,4615.0,Diesel,145.0,54.3,2.0
 E Class,2017.0,20498,Semi-Auto,35494.0,Diesel,145.0,61.4,2.0
 C Class,2017.0,17330,Semi-Auto,22684.0,Diesel,145.0,64.2,2.1
 E Class,2017.0,20998,Semi-Auto,17890.0,Diesel,160.0,52.3,3.0
 E Class,2019.0,22990,Semi-Auto,14664.0,Diesel,145.0,72.4,2.0
 CLS Class,2018.0,23995,Semi-Auto,24315.0,Diesel,145.0,57.7,2.1
 C Class,2020.0,67999,Semi-Auto,1500.0,Petrol,145.0,28.0,4.0
 C Class,2017.0,20998,Semi-Auto,16902.0,Diesel,145.0,60.1,2.1
 A Class,2019.0,23498,Semi-Auto,5800.0,Diesel,150.0,65.7,1.5
 E Class,2019.0,22990,Semi-Auto,15956.0,Diesel,145.0,72.4,2.0
 B Class,2018.0,17990,Automatic,6217.0,Diesel,145.0,68.9,2.1
 C Class,2019.0,21998,Semi-Auto,14576.0,Petrol,145.0,46.3,1.5
 CL Class,2015.0,14550,Semi-Auto,30369.0,Diesel,20.0,62.8,2.1
 E Class,2017.0,21690,Semi-Auto,22484.0,Diesel,145.0,65.7,2.0
 CL Class,2015.0,17998,Semi-Auto,28235.0,Diesel,30.0,62.8,2.1
 E Class,2015.0,15637,Automatic,45943.0,Diesel,160.0,51.4,2.1
 E Class,2015.0,18998,Semi-Auto,39530.0,Diesel,145.0,54.3,3.0
 GLS Class,2019.0,54990,Semi-Auto,18717.0,Diesel,145.0,34.0,3.0
 GLC Class,2017.0,24999,Semi-Auto,29897.0,Diesel,125.0,56.5,2.1
 M Class,2014.0,16087,Automatic,70308.0,Diesel,200.0,44.8,2.1
 GLE Class,2017.0,37950,Semi-Auto,20925.0,Diesel,145.0,39.2,3.0
 B Class,2019.0,24616,Automatic,3710.0,Diesel,145.0,55.4,2.0
 CLS Class,2013.0,11998,Semi-Auto,60090.0,Diesel,200.0,46.3,3.0
 E Class,2017.0,20998,Semi-Auto,29816.0,Diesel,145.0,61.4,2.0
 GLE Class,2017.0,31298,Semi-Auto,12122.0,Diesel,145.0,47.9,2.1
 A Class,2019.0,20980,Semi-Auto,9767.0,Petrol,145.0,53.3,1.3
 CL Class,2015.0,17960,Semi-Auto,30741.0,Diesel,20.0,67.3,2.1
 GLC Class,2017.0,25991,Semi-Auto,16008.0,Diesel,145.0,56.5,2.1
 C Class,2016.0,20490,Semi-Auto,10542.0,Petrol,125.0,51.4,2.0
 E Class,2014.0,13998,Semi-Auto,33404.0,Diesel,125.0,58.9,2.1
 E Class,2016.0,16480,Automatic,48889.0,Diesel,125.0,58.9,2.1
 GLA Class,2016.0,19330,Automatic,35425.0,Diesel,125.0,56.5,2.1
 SLK,2014.0,15990,Automatic,43955.0,Petrol,205.0,43.5,1.8
 E Class,2019.0,24491,Semi-Auto,10764.0,Diesel,145.0,72.4,2.0
 C Class,2013.0,9298,Semi-Auto,80485.0,Diesel,145.0,54.3,2.1
 A Class,2016.0,12498,Manual,54544.0,Diesel,20.0,72.4,1.5
 GLC Class,2016.0,24998,Semi-Auto,30639.0,Diesel,125.0,56.5,2.1
 C Class,2016.0,13998,Manual,22117.0,Petrol,125.0,53.3,2.0
 S Class,2016.0,31998,Semi-Auto,14633.0,Diesel,200.0,47.9,3.0
 C Class,2019.0,29998,Semi-Auto,8520.0,Diesel,145.0,61.4,2.0
 C Class,2014.0,14498,Semi-Auto,39442.0,Diesel,20.0,64.2,2.1
 A Class,2014.0,10650,Manual,47280.0,Diesel,20.0,72.4,1.5
 E Class,2016.0,19998,Semi-Auto,35665.0,Diesel,145.0,54.3,3.0
 C Class,2015.0,16990,Automatic,7976.0,Petrol,125.0,52.3,2.0
 GLA Class,2017.0,15195,Manual,56960.0,Diesel,20.0,67.3,2.1
 CLS Class,2015.0,16498,Semi-Auto,39858.0,Diesel,125.0,56.5,2.1
 V Class,2017.0,31980,Automatic,16000.0,Diesel,145.0,44.8,2.1
 GLA Class,2016.0,18980,Automatic,41713.0,Diesel,125.0,56.6,2.1
 GLA Class,2017.0,19999,Semi-Auto,16339.0,Diesel,125.0,56.5,2.1
 C Class,2013.0,9881,Automatic,50591.0,Petrol,160.0,46.3,1.6
 E Class,2017.0,20998,Semi-Auto,21929.0,Diesel,30.0,65.7,2.0
 S Class,2019.0,46998,Semi-Auto,1042.0,Diesel,145.0,52.3,3.0
 E Class,2019.0,28998,Semi-Auto,26100.0,Diesel,145.0,65.7,2.0
 GLA Class,2016.0,17991,Semi-Auto,20233.0,Diesel,125.0,56.6,2.1
 C Class,2018.0,27498,Semi-Auto,9255.0,Diesel,145.0,57.7,2.0
 GLC Class,2019.0,27890,Automatic,19072.0,Diesel,145.0,56.5,2.1
 C Class,2017.0,22590,Semi-Auto,41131.0,Diesel,30.0,65.7,2.1
 C Class,2017.0,21991,Semi-Auto,19953.0,Diesel,145.0,67.3,2.1
 C Class,2019.0,32998,Semi-Auto,2878.0,Petrol,145.0,42.2,2.0
 GLC Class,2016.0,21998,Automatic,29884.0,Diesel,125.0,56.5,2.1
 CLS Class,2019.0,44498,Semi-Auto,5428.0,Diesel,145.0,47.9,2.9
 SL CLASS,2020.0,32999,Semi-Auto,600.0,Petrol,145.0,36.7,2.0
 E Class,2016.0,18880,Semi-Auto,45143.0,Diesel,30.0,65.7,2.0
 C Class,2016.0,18990,Semi-Auto,26413.0,Diesel,20.0,64.2,2.1
 V Class,2018.0,19346,Manual,34483.0,Diesel,150.0,46.3,2.1
 GLS Class,2017.0,38580,Automatic,22957.0,Diesel,145.0,37.2,3.0
 C Class,2015.0,12298,Semi-Auto,68718.0,Petrol,125.0,53.3,2.0
 GLC Class,2019.0,33495,Semi-Auto,12344.0,Diesel,145.0,56.5,2.1
 C Class,2017.0,18998,Semi-Auto,23760.0,Diesel,30.0,64.2,2.1
 E Class,2017.0,23995,Semi-Auto,19300.0,Diesel,30.0,65.7,2.0
 A Class,2015.0,10991,Semi-Auto,67865.0,Diesel,20.0,68.9,2.1
 E Class,2016.0,20998,Semi-Auto,16843.0,Diesel,145.0,54.3,3.0
 A Class,2018.0,20295,Semi-Auto,9748.0,Petrol,145.0,53.3,1.3
 C Class,2014.0,15280,Semi-Auto,25901.0,Diesel,20.0,64.2,2.1
 C Class,2016.0,13690,Manual,49761.0,Diesel,20.0,68.9,2.1
 V Class,2015.0,25990,Semi-Auto,56617.0,Diesel,235.0,44.8,2.2
 C Class,2018.0,20999,Semi-Auto,9250.0,Petrol,145.0,46.3,1.5
 C Class,2015.0,16810,Automatic,44929.0,Diesel,30.0,64.2,2.1
 CL Class,2015.0,13490,Automatic,63797.0,Diesel,20.0,68.9,2.1
 E Class,2016.0,19750,Semi-Auto,29000.0,Diesel,30.0,65.7,2.0
 A Class,2019.0,19498,Semi-Auto,14899.0,Diesel,145.0,68.9,1.5
 A Class,2019.0,23184,Manual,1173.0,Petrol,145.0,44.8,1.3
 A Class,2019.0,21250,Semi-Auto,4878.0,Petrol,145.0,53.3,1.3
 V Class,2018.0,19998,Manual,26973.0,Diesel,145.0,46.3,2.1
 GLC Class,2017.0,26999,Semi-Auto,35293.0,Diesel,145.0,56.5,2.1
 CLS Class,2015.0,16995,Automatic,50231.0,Diesel,125.0,56.5,2.1
 SL CLASS,2019.0,28491,Semi-Auto,9477.0,Petrol,145.0,47.1,2.0
 GLC Class,2017.0,26995,Semi-Auto,33153.0,Diesel,145.0,56.5,2.1
 GLC Class,2018.0,26890,Semi-Auto,15200.0,Diesel,145.0,41.5,2.1
 CLS Class,2017.0,22698,Semi-Auto,36402.0,Diesel,160.0,51.4,3.0
 C Class,2017.0,21565,Automatic,39447.0,Petrol,145.0,47.1,2.0
 GLE Class,2017.0,27950,Semi-Auto,14156.0,Diesel,145.0,47.9,2.1
 C Class,2017.0,13800,Manual,34015.0,Diesel,145.0,70.6,2.1
 A Class,2016.0,21998,Semi-Auto,17171.0,Petrol,165.0,45.6,2.0
 E Class,2017.0,18990,Semi-Auto,25326.0,Diesel,145.0,72.4,2.0
 C Class,2017.0,18998,Semi-Auto,26866.0,Diesel,30.0,64.2,2.1
 C Class,2016.0,20105,Automatic,14965.0,Diesel,30.0,64.2,2.1
 A Class,2013.0,11998,Semi-Auto,54060.0,Diesel,30.0,64.2,2.1
 CL Class,2016.0,18391,Semi-Auto,42192.0,Diesel,20.0,67.3,2.1
 C Class,2019.0,26601,Automatic,9949.0,Diesel,150.0,64.2,2.0
 SL CLASS,2016.0,18698,Semi-Auto,30269.0,Diesel,30.0,70.6,2.1
 V Class,2018.0,19998,Manual,24823.0,Diesel,145.0,46.3,2.1
 GLC Class,2016.0,20990,Automatic,44013.0,Diesel,125.0,56.5,2.1
 GLA Class,2015.0,15837,Semi-Auto,31091.0,Diesel,125.0,55.4,2.1
 C Class,2018.0,18998,Semi-Auto,15075.0,Petrol,145.0,50.4,2.0
 A Class,2019.0,21499,Semi-Auto,9198.0,Diesel,150.0,56.5,2.0
 C Class,2017.0,17495,Semi-Auto,25149.0,Petrol,145.0,51.4,2.0
 GLA Class,2020.0,27998,Semi-Auto,3930.0,Petrol,150.0,35.8,1.6
 CLS Class,2019.0,44999,Semi-Auto,4000.0,Diesel,145.0,47.9,2.9
 GLE Class,2017.0,27950,Automatic,23825.0,Diesel,145.0,42.8,3.0
 C Class,2016.0,16998,Semi-Auto,38830.0,Diesel,20.0,64.2,2.1
 GLC Class,2018.0,27880,Semi-Auto,10408.0,Diesel,145.0,56.5,2.1
 E Class,2017.0,21498,Semi-Auto,31750.0,Diesel,145.0,61.4,2.0
 GLE Class,2016.0,34998,Semi-Auto,17525.0,Diesel,300.0,39.2,3.0
 GLS Class,2019.0,44990,Automatic,11607.0,Diesel,145.0,37.2,3.0
 GLA Class,2015.0,16998,Semi-Auto,42129.0,Diesel,125.0,56.5,2.1
 C Class,2016.0,17672,Automatic,31656.0,Diesel,30.0,64.2,2.1
 A Class,2017.0,16898,Manual,24093.0,Diesel,150.0,62.8,2.1
 GLA Class,2016.0,21595,Semi-Auto,21512.0,Petrol,200.0,43.5,2.0
 GLA Class,2018.0,18995,Manual,21000.0,Petrol,145.0,48.7,1.6
 GLS Class,2018.0,46998,Semi-Auto,9182.0,Diesel,145.0,37.2,3.0
 GLA Class,2014.0,17998,Semi-Auto,34271.0,Petrol,200.0,42.8,2.0
 C Class,2017.0,22960,Semi-Auto,21225.0,Diesel,20.0,67.3,2.1
 GLA Class,2016.0,21498,Semi-Auto,21253.0,Petrol,200.0,43.5,2.0
 A Class,2013.0,14498,Semi-Auto,25064.0,Petrol,160.0,45.6,2.0
 B Class,2017.0,14995,Semi-Auto,26109.0,Diesel,20.0,68.9,2.1
 E Class,2019.0,48998,Semi-Auto,2669.0,Diesel,145.0,47.1,3.0
 GLC Class,2016.0,26320,Semi-Auto,26065.0,Diesel,145.0,56.5,2.1
 C Class,2017.0,21115,Semi-Auto,31538.0,Diesel,145.0,67.3,2.1
 GLA Class,2018.0,20350,Automatic,24556.0,Diesel,145.0,56.5,2.1
 C Class,2015.0,13361,Semi-Auto,35034.0,Petrol,125.0,53.3,2.0
 A Class,2016.0,14580,Manual,13232.0,Diesel,30.0,65.7,2.1
 CLS Class,2013.0,14750,Automatic,56198.0,Diesel,200.0,46.3,3.0
 SL CLASS,2017.0,18775,Automatic,19522.0,Diesel,30.0,70.6,2.1
 C Class,2014.0,10190,Semi-Auto,62448.0,Diesel,150.0,56.5,2.1
 GLC Class,2015.0,24498,Semi-Auto,23487.0,Diesel,125.0,56.5,2.1
 CL Class,2019.0,26499,Semi-Auto,10432.0,Diesel,145.0,51.4,2.2
 S Class,2016.0,30498,Semi-Auto,17624.0,Diesel,200.0,47.9,3.0
 C Class,2019.0,27980,Automatic,3168.0,Diesel,145.0,55.4,2.0
 C Class,2017.0,22440,Semi-Auto,32629.0,Diesel,20.0,67.3,2.1
 A Class,2019.0,19840,Automatic,12066.0,Petrol,145.0,53.3,1.3
 A Class,2019.0,21490,Automatic,23000.0,Diesel,145.0,67.3,1.5
 CL Class,2017.0,20500,Automatic,14611.0,Diesel,145.0,67.3,2.1
 C Class,2015.0,14500,Semi-Auto,38783.0,Diesel,20.0,64.2,2.1
 A Class,2014.0,13799,Semi-Auto,52311.0,Diesel,20.0,64.2,2.1
 A Class,2014.0,10990,Semi-Auto,49799.0,Diesel,20.0,68.9,2.1
